Feature,Weight
sidewalk_width,0.08318232589292053
pedestrian_density,0.11969249656254687
street_furniture_density,0.0836818943236595
sidewalk_roughness,0.052739929704832926
surface_condition,0.10168361464497655
communication_infrastructure,0.06894236956897741
slope_gradient,0.0628353547250142
charging_station_proximity,0.032633627263632836
curb_ramp_availability,0.08190993539587699
crowd_dynamics,0.09984832158129699
surveillance_coverage,0.030861859026712717
bike_lane_availability,0.026630543076385776
gps_signal_strength,0.05946387014435949
bicycle_traffic,0.03524519808464965
digital_map_existence,0.06064866000415757
